RPE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10,100.0,95.5,92.2,89.2,86.3,83.7,81.1,78.6,76.2,73.9,72.4,70.7,69.1,67.6,66.3
9.5,97.8,93.8,90.7,87.8,85.0,82.4,79.8,77.4,75.1,73.2,71.6,69.9,68.3,66.9,65.7
9,95.5,92.2,89.2,86.3,83.7,81.1,78.6,76.2,73.9,72.4,70.7,69.1,67.6,66.3,65.0
8.5,93.8,90.7,87.8,85.0,82.4,79.8,77.4,75.1,73.2,71.6,69.9,68.3,66.9,65.7,64.4
8,92.2,89.2,86.3,83.7,81.1,78.6,76.2,73.9,72.4,70.7,69.1,67.6,66.3,65.0,63.8
7.5,90.7,87.8,85.0,82.4,79.8,77.4,75.1,73.2,71.6,69.9,68.3,66.9,65.7,64.4,63.3
7,89.2,86.3,83.7,81.1,78.6,76.2,73.9,72.4,70.7,69.1,67.6,66.3,65.0,63.8,62.7
6.5,87.8,85.0,82.4,79.8,77.4,75.1,73.2,71.6,69.9,68.3,66.9,65.7,64.4,63.3,62.2
6,86.3,83.7,81.1,78.6,76.2,73.9,72.4,70.7,69.1,67.6,66.3,65.0,63.8,62.7,61.7
5.5,85.0,82.4,79.8,77.4,75.1,73.2,71.6,69.9,68.3,66.9,65.7,64.4,63.3,62.2,61.3
5,83.7,81.1,78.6,76.2,73.9,72.4,70.7,69.1,67.6,66.3,65.0,63.8,62.7,61.7,60.8